,model,price,rating,processor,graphic_card,core,display,ram,os,internal_storage
145,Gigabyte G5 MF-F2IN313SH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹71,990",64,12th Gen Intel Core i5 12450H,6 GB NVIDIA GeForce RTX 4050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB  RAM,Windows 11 OS,512 GB SSD
146,Lenovo Legion 9i 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),"₹3,99,999",83,13th Gen Intel Core i9 13980HX,16 GB NVIDIA GeForce RTX 4090,"24 Cores (8P + 16E), 32 Threads","16 inches, 3200 x 2000 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
147,Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹86,990",60,12th Gen Intel Core i7 12700H ,4 GB ‎NVIDIA GeForce RTX 3050,20 Threads,"15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11  OS,1 TB SSD
148,Asus Vivobook 16X 2023 K3605ZV-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹99,990",69,12th Gen Intel Core i7 12650H,NVIDIA Geforce RTX,"10 Cores (6P + 4E), 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
149,Gigabyte G6 KF Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),"₹1,30,000",68,13th Gen Intel Core i7 13620H,8 GB NVIDIA GeForce RTX 4060,"10 Cores (6P + 4E), 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
150,Gigabyte G5 KF-E3IN313SH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 8GB Graph),"₹86,990",69,12th Gen Intel Core i5 12500H,8 GB NVIDIA GeForce RTX 4060,"12 Cores (4P + 8E), 16 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR5 RAM,Windows 11 OS,512 GB SSD
151,Lenovo V15 G3 IAP 82TT004VIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),"₹44,990",52,12th Gen Intel Core i5 1235U,Intel Integrated UHD,"10 Cores (2P + 8E), 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,DOS OS,512 GB SSD
152,Asus Vivobook 16X K3605ZU-MBN541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6GB Graphics),"₹76,990",64,12th Gen Intel Core i5 12450H,6 GB NVIDIA Geforce RTX 4050,"Octa Core (4P + 4E), 12 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
153,MSI Thin GF63 11UC-1291IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹62,990",68,11th Gen Intel Core i5 11400H,4 GB NVIDIA GeForce RTX 3050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
154,MSI Katana 15 B12UDXK-1004IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹85,990",71,12th Gen Intel Core i7 12650H,6 GB NVIDIA GeForce RTX 3050,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
155,HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹85,990",71,12th Gen Intel Core i7 12650H,4 GB NVIDIA GeForce RTX 3050,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,1 TB SSD
156,Asus Vivobook Pro 15 OLED M6500QC-LK541WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹68,990",59,5th Gen AMD Ryzen 5 5600H,4 GB NVIDIA GeForce RTX 3050 GPU,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
157,HP Victus 15-fb1018AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹54,990",61,7th Gen Amd Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR5 RAM,Windows 11 OS,512 GB SSD
158,Asus TUF Gaming F15 FX506HF-HN076W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,990",64,11th Gen Intel Core i5 11260H,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
159,HP Omen 16-wf0056TX 834U0PA Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),"₹1,29,990",65,13th Gen Intel Core i7 13700HX,8 GB NVIDIA GeForce RTX 4060,"16 Cores (8P + 8E), 24 Threads","16.1 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
160,Lenovo V15 82KB00RJIH Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹48,990",61,11th Gen Intel Core i5 1135G7,Intel Integrated Iris Xe,"Quad Core, 8 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
161,HP Victus 16-s0089AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹80,490",72,7th Gen AMD Ryzen 7 7840HS,4 GB NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","16.1 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
162,HP Victus  15-fa1060TX  Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹99,999",66,13th Gen Intel Core i5 13500H,6 GB NVIDIA GeForce RTX 4050,"12 Cores (4P + 8E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
163,HP Victus 15-fa1064TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹1,08,490",68,13th Gen Intel Core i7 13700H,6 GB NVIDIA GeForce RTX 4050,"14 Cores (6P + 8E), 20 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
164,HP Victus 15-fb0153AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹50,990",64,5th Gen AMD Ryzen 5  5600H ,4 GB AMD Radeon RX 6500M,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
165,Gigabyte Aorus 15 9SF Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Pro/ 8GB Graph),"₹1,49,990",78,12th Gen Intel Core i5 12500H,8 GB NVIDIA GeForce RTX 4070,"12 Cores (4P + 8E), 16 Threads","15.6 inches, 2560 x 1440 pixels",16 GB DDR5 RAM,Windows 11  OS,1 TB SSD
166,HP Omen 16-wd0770TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹89,990",68,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,"Octa Core (4P + 4E), 12 Threads","16.1 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
167,Asus Vivobook Pro 15 M6500QFB-LK541WS Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",62,5th Gen AMD Ryzen 5  5600H,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
168,HP Victus 15-fb0134AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹54,559",65,5th Gen AMD Ryzen 5 5600H,4 GB AMD Radeon RX 6500M Graphics,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
169,Asus Vivobook Pro 15 M6500QFB-LK742WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹66,990",68,5th Gen AMD Ryzen 7 5800H,4 GB NVIDIA GeForce RTX 2050,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
170,HP Victus 15-fa0188TX Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹79,990",70,12th Gen Intel Core i7 12650H,4 GB NVIDIA GeForce RTX 3050,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
171,Lenovo LOQ 15IRH8 82XV00F7IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹90,990",68,12th Gen Intel Core i5 12450H,8 GB NVIDIA GeForce RTX 4060,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
172,Lenovo LOQ 15IRH8 82XV00F6IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹83,990",66,12th Gen Intel Core i5 12450H,6 GB NVIDIA GeForce RTX 4050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
173,Lenovo LOQ 15APH8 82XT004JIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹92,990",70,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 4050,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
174,Lenovo LOQ 15APH8 82XT009CIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,01,990",71,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
175,Lenovo LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,00,190",63,13th Gen Intel Core i7 13620H,6 GB NVIDIA GeForce RTX 4050,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
176,MSI Vector GP78HX 13VI-409IN Gaming Laptop (13th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),"₹3,29,990",88,13th Gen Intel Core i9 13980HX,16 GB NVIDIA GeForce RTX 4090,"24 Cores (8P + 16E), 32 Threads","17 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,2 TB SSD
177,HP Omen 16-xf0059AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,13,090",71,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,"Octa Core, 16 Threads","16 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
178,Acer Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹62,990",61,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 3050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
